id,title,authors,journal,year,source
1,visibility graph analysis of speech evoked auditory brainstem response in persistent developmental stuttering,"mozaffarilegha m., adeli h.",neuroscience letters,2019,scopus
2,revisiting the “paradox of stereotaxic surgery”: insights into basal ganglia-thalamic interactions,"magnusson j.l., leventhal d.k.",frontiers in systems neuroscience,2021,scopus
3,"mapping autonomic, mood and cognitive effects of hypothalamic region deep brain stimulation","neudorfer c., elias g.j.b., jakobs m., boutet a., germann j., narang k., loh a., paff m., horn a., kucharczyk w., deeb w., salvato b., almeida l., foote k.d., rosenberg p.b., tang-wai d.f., anderson w.s., mari z., ponce f.a., wolk d.a., burke a.d., salloway s., sabbagh m.n., chakravarty m.m., smith g.s., lyketsos c.g., okun m.s., lozano a.m.",brain,2021,scopus
4,going deep into schizophrenia with artificial intelligence,"cortes-briones j.a., tapia-rivas n.i., d'souza d.c., estevez p.a.",schizophrenia research,2021,scopus
5,an introduction to cognitive psychology: processes and disorders fourth edition,"groome d., brace n., edgar g., edgar h., eysenck m., gobet f., law r., manly t., ness h., pike g., scott s., styles e.",an introduction to cognitive psychology: processes and disorders,2021,scopus
6,"optimized adaptive neuro fuzzy inference system (oanfis) based eeg signal analysis for seizure recognition on fpga,","priyadarshini b. indira, reddy d. krishna,","biomedical signal processing and control,",2021,sciencedirect
7,one-class tensor machine with randomized projection for large-scale anomaly detection in high-dimensional and noisy data,"razzak i., moustafa n., mumtaz s., xu g.",international journal of intelligent systems,2021,scopus
8,"a review of feature extraction and performance evaluation in epileptic seizure detection using eeg,","poomipat boonyakitanont, apiwat lek-uthai, krisnachai chomtho, jitkomut songsiri,","biomedical signal processing and control,",2020,sciencedirect
9,asteri: image-based representation of eeg signals for motor imagery classification,"gomes j.c., rodrigues m.c.a., dos santos w.p.",research on biomedical engineering,2022,scopus
10,computer aided diagnosis of thyroid disease using machine learning algorithms,"asif m.a.-a.-r., nishat m.m., faisal f., shikder m.f., udoy m.h., dip r.r., ahsan r.","proceedings of 2020 11th international conference on electrical and computer engineering, icece 2020",2020,scopus
11,"a novel computer-aided diagnosis framework for eeg-based identification of neural diseases,","muhammad tariq sadiq, hesam akbari, siuly siuly, adnan yousaf, ateeq ur rehman,","computers in biology and medicine,",2021,sciencedirect
12,machine learning-based lungs cancer detection using reconstruction independent component analysis and sparse filter features,"hussain l., almaraashi m.s., aziz w., habib n., saif abbasi s.-u.-r.",waves in random and complex media,2021,scopus
13,subject-independent drowsiness recognition from single-channel eeg with an interpretable cnn-lstm model,"cui j., lan z., zheng t., liu y., sourina o., wang l., muller-wittig w.","proceedings - 2021 international conference on cyberworlds, cw 2021",2021,scopus
14,a new approach for product evaluation based on integration of eeg and eye-tracking,"zhu s., qi j., hu j., hao s.",advanced engineering informatics,2022,scopus
15,seizure type classification on eeg signal using support vector machine,"dwi saputro i.r., maryati n.d., solihati s.r., wijayanto i., hadiyoso s., patmasari r.",journal of physics: conference series,2019,scopus
16,epileptic seizure detection for imbalanced datasets using an integrated machine learning approach,"masum m., shahriar h., haddad h.m.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2020,scopus
17,"a comprehensive survey on support vector machine classification: applications, challenges and trends","cervantes j., garcia-lamont f., rodríguez-mazahua l., lopez a.",neurocomputing,2020,scopus
18,"cross-wavelet assisted convolution neural network (alexnet) approach for phonocardiogram signals classification,","priyadarshiny dhar, saibal dutta, vivekananda mukherjee,","biomedical signal processing and control,",2021,sciencedirect
19,brain computer interface for neurodegenerative person using electroencephalogram,"junwei l., ramkumar s., emayavaramban g., vinod d.f., thilagaraj m., muneeswaran v., pallikonda rajasekaran m., venkataraman v., hussein a.f.",ieee access,2019,scopus
20,"a wrapper-based approach for feature selection and classification of major depressive disorder–bipolar disorders,","turker tekin erguzel, cumhur tas, merve cebi,","computers in biology and medicine,",2015,sciencedirect
21,"megnet: automatic ica-based artifact removal for meg using spatiotemporal convolutional neural networks,","alex h. treacher, prabhat garg, elizabeth davenport, ryan godwin, amy proskovec, leonardo guimaraes bezerra, gowtham murugesan, ben wagner, christopher t. whitlow, joel d. stitzel, joseph a. maldjian, albert a. montillo,","neuroimage,",2021,sciencedirect
22,qupwm: feature extraction method for epileptic spike classification,"chahid a, albalawi f, alotaiby tn, al-hameed mh, alshebeili s, laleg-kirati tm.",ieee j biomed health inform,2020,pubmed
23,incident retrieval and recognition in video stream using wi-fi signal,"hao y., wang w., lin q.",ieee access,2021,scopus
24,"neuroimaging and electrophysiology meet invasive neurostimulation for causal interrogations and modulations of brain states,","gabriel gonzalez-escamilla, muthuraman muthuraman, dumitru ciolac, volker a. coenen, alfons schnitzler, sergiu groppa,","neuroimage,",2020,sciencedirect
25,"long-range temporal correlations in the brain distinguish conscious wakefulness from induced unconsciousness,","thomas thiery, tarek lajnef, etienne combrisson, arthur dehgan, pierre rainville, george a. mashour, stefanie blain-moraes, karim jerbi,","neuroimage,",2018,sciencedirect
26,a novel feature set extraction based on accelerometer sensor data for improving the fall detection system,"le h.-l., nguyen d.-n., nguyen t.-h., nguyen h.-n.",electronics (switzerland),2022,scopus
27,using lempel-ziv complexity as effective classification tool of the sleep-related breathing disorders,"pregowska a., proniewska k., van dam p., szczepanski j.",computer methods and programs in biomedicine,2019,scopus
28,individual [(18)f]fdg pet and functional mri based on simultaneous pet/mri may predict seizure recurrence after temporal lobe epilepsy surgery,"wang j, guo k, cui b, hou y, zhao g, lu j.",eur radiol,2022,pubmed
29,intelligent multimedia urban planning construction based on spectral clustering algorithms of large data mining,lanqin x.,multimedia tools and applications,2020,scopus
30,epileptic seizure detection using spectral transformation and convolutional neural networks,"cleatus t.s., thungamani m.",journal of the institution of engineers (india): series b,2022,scopus
31,machine learning for interpretation of brain images: a detailed analysis through survey,bagavathi c.,"proceedings - ieee 2021 international conference on computing, communication, and intelligent systems, icccis 2021",2021,scopus
32,investigation of eeg-based graph-theoretic analysis for automatic diagnosis of alcohol use disorder,"mumtaz w., vařeka l., mouček r.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2019,scopus
33,aerial video trackers review,"jia j., lai z., qian y., yao z.",entropy,2020,scopus
34,"classification of first-episode schizophrenia, chronic schizophrenia and healthy control based on brain network of mismatch negativity by graph neural network","chang q., li c., tian q., bo q., zhang j., xiong y., wang c.",ieee transactions on neural systems and rehabilitation engineering,2021,scopus
