new_id,old_id,ref,title,authors,journal,year,source,phase1,phase2,epilepsy,alzheimer,schizophrenia,parkinson,depression,sleepstage,generalpathology
1,11,sadiq,"a novel computer-aided diagnosis framework for eeg-based identification of neural diseases,","muhammad tariq sadiq, hesam akbari, siuly siuly, adnan yousaf, ateeq ur rehman,","computers in biology and medicine,",2021,sciencedirect,1,0,0,0,0,0,0,0,0
2,57,bajpai,automated eeg pathology detection based on different convolutional neural network models: deep learning approach,"bajpai r., yuvaraj r., prince a.a.",computers in biology and medicine,2021,scopus,1,1,0,0,0,0,0,0,1
3,65,rocca,automatic detection of eeg epileptiform abnormalities in traumatic brain injury using deep learning,"faghihpirayesh r., ruf s., rocca m.l., garner r., vespa p., erdogmus d., duncan d.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus,1,1,1,0,0,0,0,0,0
4,69,sansegundo,"classification of epileptic eeg recordings using signal transforms and convolutional neural networks,","rubén san-segundo, manuel gil-martín, luis fernando d'haro-enríquez, josé manuel pardo,","computers in biology and medicine,",2019,sciencedirect,1,1,1,0,0,0,0,0,0
5,82,kumar,"local pattern transformation based feature extraction techniques for classification of epileptic eeg signals,","abeg kumar jaiswal, haider banka,","biomedical signal processing and control,",2017,sciencedirect,1,0,1,0,0,0,0,0,0
6,122,serna,eeg-rhythm specific taylor-fourier filter bank implemented with o-splines for the detection of epilepsy using eeg signals,"de la o serna j.a., paternina m.r.a., zamora-mendez a., tripathy r.k., pachori r.b.",ieee sensors journal,2020,scopus,1,1,1,0,0,0,0,0,0
7,128,peng,"domain adaptation for epileptic eeg classification using adversarial learning and riemannian manifold,","peizhen peng, liping xie, kanjian zhang, jinxia zhang, lu yang, haikun wei,","biomedical signal processing and control,",2022,sciencedirect,1,1,1,0,0,0,0,0,0
8,136,raj,schizophrenia detection using multivariateempirical mode decomposition and entropy measures from multichannel eeg signal,"krishnan p.t., joseph raj a.n., balasubramanian p., chen y.",biocybernetics and biomedical engineering,2020,scopus,1,1,0,0,1,0,0,0,0
9,146,song,supervised network-based fuzzy learning of eeg signals for alzheimer's disease identification,"yu h., lei x., song z., liu c., wang j.",ieee transactions on fuzzy systems,2020,scopus,1,1,0,1,0,0,0,0,0
10,166,akbari,exploiting feature selection and neural network techniques for identification of focal and nonfocal eeg signals in tqwt domain,"sadiq m.t., akbari h., rehman a.u., nishtar z., masood b., ghazvini m., too j., hamedi n., kaabar m.k.a.",journal of healthcare engineering,2021,scopus,1,1,1,0,0,0,0,0,0
11,169,arora,diagnosis of sleep disorders in optimized time slot based machine learning techniques on eeg energy level patterns,"tiwari s., arora d.",materials today: proceedings,2021,scopus,1,0,0,0,0,0,0,1,0
12,212,choi,evaluation of eeg connectivity network measures based features in schizophrenia classification,"bougou v., mporas i., schirmer p., ganchev t.","proceedings of the international conference on biomedical innovations and applications, bia 2019",2019,scopus,1,1,0,0,1,0,0,0,0
13,239,yildirim,automated depression detection using deep representation and sequence learning with eeg signals,"ay b., yildirim o., talo m., baloglu u.b., aydin g., puthankattil s.d., acharya u.r.",journal of medical systems,2019,scopus,1,1,0,0,0,0,1,0,0
14,241,dogan,automated eeg signal classification using chaotic local binary pattern,"tuncer t., dogan s., rajendra acharya u.",expert systems with applications,2021,scopus,1,1,0,0,0,0,0,0,0
15,268,yildiz,"classification and analysis of epileptic eeg recordings using convolutional neural network and class activation mapping,","abdulnasir yildiz, hasan zan, sherif said,","biomedical signal processing and control,",2021,sciencedirect,1,0,1,0,0,0,0,0,0
16,270,chen,"fft-based deep feature learning method for eeg classification,","mingyang li, wanzhong chen,","biomedical signal processing and control,",2021,sciencedirect,1,0,0,0,0,0,0,0,0
